Meta information
Meta Platforms Ireland Limited,Merrion Road,Dublin 4,D04 X2K5,Ireland,VAT Reg. No. IE9692928F

Advertiser Information
Account: 1296633535042941,Business: LVMC Holdings (Cambodia) Co. LTD.,VAT TIN: L001-106008676

Billing Report: 06/04/2025 - 07/02/2025

Meta Ads payment
Payment Method: Visa · 1343
Date,Transaction ID,Amount,Currency
06/23/2025,23869044882784261-23869044899450926,2.81,USD
06/23/2025,23899416386413780-23899416399747112,962.50,USD
06/20/2025,10064426150339365-10036513419797307,874.50,USD
06/17/2025,10052061928242453-10048110471970934,794.20,USD
06/14/2025,23885352981153453-10022742251174423,40.59,USD
06/13/2025,24127439143611500-10022576721190974,721.60,USD
,Total Amount Billed,"3,396.20",USD

VAT Rate: 10%
VAT Amount: 308.75
